,Title,Year,Stream on,RT score,Letterboxd score,Director,Cast,Genres,Description,Runtime,Language,Poster
0,Eyes Wide Shut,1999,"<img src='https://www.themoviedb.org/t/p/original/Ajqyt5aNxNGjmF9uOfxArGrdf3X.jpg'height='50', style='border-radius: 10%;'></img>",76,4.0,Stanley Kubrick,"Tom Cruise, Nicole Kidman, Sydney Pollack","Drama, Thriller, Mystery","After Dr. Bill Harford's wife, Alice, admits to having sexual fantasies about a man she met, Bill becomes obsessed with having a sexual encounter. He discovers an underground sexual group and attends one of their meetings -- and quickly discovers that he is in over his head.",159,en,https://image.tmdb.org/t/p/w185/knEIz1eNGl5MQDbrEAVWA7iRqF9.jpg
1,WALL·E,2008,Unavailable,95,4.1,Andrew Stanton,"Ben Burtt, Elissa Knight, Jeff Garlin","Animation, Family, Science Fiction","WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",98,en,https://image.tmdb.org/t/p/w185/hbhFnRzzg6ZDmm8YAmxBnQpQIPh.jpg
2,Häxan,1922,Unavailable,-,-,Benjamin Christensen,"Benjamin Christensen, Ella La Cour, Emmy Schønfeld","Documentary, Horror, History","Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.",105,sv,https://image.tmdb.org/t/p/w185/v53aFWdXYwZJCiblIsC0ZqiS90r.jpg
3,Chungking Express,1994,Unavailable,88,4.3,Wong Kar-wai,"Takeshi Kaneshiro, Brigitte Lin, Tony Leung Chiu-wai","Drama, Comedy, Romance","Two melancholic Hong Kong policemen fall in love: one with a mysterious underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",103,cn,https://image.tmdb.org/t/p/w185/43I9DcNoCzpyzK8JCkJYpHqHqGG.jpg
4,Sherlock Jr.,1924,Unavailable,93,4.3,Buster Keaton,"Buster Keaton, Kathryn McGuire, Joe Keaton","Action, Comedy, Mystery","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",45,en,https://image.tmdb.org/t/p/w185/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg
5,"Paris, Texas",1984,Unavailable,94,4.3,Wim Wenders,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell",Drama,"A man wanders out of the desert not knowing who he is. His brother finds him, and helps to pull his memory back of the life he led before he walked out on his family and disappeared four years earlier.",145,en,https://image.tmdb.org/t/p/w185/6NuFYT1f1rG0AeIVTJEgsRa7AOi.jpg
6,La La Land,2016,"<img src='https://www.themoviedb.org/t/p/original/emthp39XA2YScoYL1p0sdbAH2WA.jpg'height='50', style='border-radius: 10%;'></img>",91,4.0,Damien Chazelle,"Ryan Gosling, Emma Stone, John Legend","Comedy, Drama, Romance, Music","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",129,en,https://image.tmdb.org/t/p/w185/uDO8zWDhfWwoFdKS4fzkUJt0Rf0.jpg
7,Logan Lucky,2017,Unavailable,92,3.5,Steven Soderbergh,"Channing Tatum, Adam Driver, Riley Keough","Action, Comedy, Crime, Drama","Trying to reverse a family curse, brothers Jimmy and Clyde Logan set out to execute an elaborate robbery during the legendary Coca-Cola 600 race at the Charlotte Motor Speedway.",118,en,https://image.tmdb.org/t/p/w185/mQrhrBaaHvRfBQq0Px3HtVbH9iE.jpg
8,In the Mood for Love,2000,Unavailable,-,4.4,Wong Kar-wai,"Tony Leung Chiu-wai, Maggie Cheung, Rebecca Pan","Drama, Romance","Hong Kong, 1962: Chow Mo-Wan and Su Li-Zhen move into neighboring apartments on the same day. Their encounters are formal and polite—until a discovery about their spouses creates an intimate bond between them.",99,cn,https://image.tmdb.org/t/p/w185/iYypPT4bhqXfq1b6EnmxvRt6b2Y.jpg
9,Secrets & Lies,1996,Unavailable,95,4.2,Mike Leigh,"Brenda Blethyn, Marianne Jean-Baptiste, Timothy Spall",Drama,"With both her adoptive parents now dead, a black optometrist decides to make contact with her birth mother, but is shocked to find out that she is white.",142,en,https://image.tmdb.org/t/p/w185/mfWfW6DfD4oBTFmGAndaTkuPUO5.jpg
10,Infernal Affairs,2002,Unavailable,94,3.9,Andrew Lau,"Andy Lau, Tony Leung Chiu-wai, Anthony Wong","Drama, Action, Thriller, Crime, Mystery","Chan Wing Yan, a young police officer, has been sent undercover as a mole in the local mafia. Lau Kin Ming, a young mafia member, infiltrates the police force. Years later, their older counterparts, Chen Wing Yan and Inspector Lau Kin Ming, respectively, race against time to expose the mole within their midst.",101,cn,https://image.tmdb.org/t/p/w185/qdlwFWn2YdLzw5KHpMpzRY9BI7r.jpg
11,Badlands,1973,Unavailable,97,4.0,Terrence Malick,"Martin Sheen, Sissy Spacek, Warren Oates","Drama, Crime",An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,94,en,https://image.tmdb.org/t/p/w185/eJiVU3sTv9iYbytBzdaPijXsyIk.jpg
12,Lost Highway,1997,Unavailable,69,4.0,David Lynch,"Bill Pullman, Patricia Arquette, Balthazar Getty","Drama, Thriller, Mystery","A tormented jazz musician finds himself lost in an enigmatic story involving murder, surveillance, gangsters, doppelgängers, and an impossible transformation inside a prison cell.",134,en,https://image.tmdb.org/t/p/w185/5POhfNeFPIi4VUNwCTaK85sh98r.jpg
13,Revolutionary Road,2008,Unavailable,67,3.5,Sam Mendes,"Leonardo DiCaprio, Kate Winslet, David Harbour","Drama, Romance",A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.,119,en,https://image.tmdb.org/t/p/w185/63PKnmHjaDcTAjZIfj6bWVN8gvw.jpg
14,Nomadland,2020,Unavailable,93,3.8,Chloé Zhao,"Frances McDormand, David Strathairn, Linda May",Drama,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",108,en,https://image.tmdb.org/t/p/w185/8Vc5EOUEIF1EUXuX9eLFf7BvN3P.jpg
15,Zola,2020,"<img src='https://www.themoviedb.org/t/p/original/emthp39XA2YScoYL1p0sdbAH2WA.jpg'height='50', style='border-radius: 10%;'></img>",88,3.5,Janicza Bravo,"Taylour Paige, Riley Keough, Colman Domingo","Comedy, Crime","A waitress agrees to accompany an exotic dancer, her put-upon boyfriend, and her mysterious and domineering roommate on a road trip to Florida to seek their fortune at a high-end strip club.",86,en,https://image.tmdb.org/t/p/w185/bJLCPROp9bmNndurwZpVnOioVpB.jpg
16,Men,2022,"<img src='https://www.themoviedb.org/t/p/original/emthp39XA2YScoYL1p0sdbAH2WA.jpg'height='50', style='border-radius: 10%;'></img>",68,2.9,Alex Garland,"Jessie Buckley, Rory Kinnear, Paapa Essiedu","Horror, Thriller, Fantasy","In the aftermath of a personal tragedy, Harper retreats alone to the beautiful English countryside, hoping to find a place to heal. But someone — or something — from the surrounding woods appears to be stalking her, and what begins as simmering dread becomes a fully-formed nightmare, inhabited by her darkest memories and fears.",100,en,https://image.tmdb.org/t/p/w185/jo1Kv3P3UgDVk7JnUFr2Cl8WWUM.jpg
17,Lamb of God: The Concert Film,2021,Unavailable,,3.7,Rob Gardner,,Music,"Embrace the hope of Easter and experience the power of the last week of Christ's mortal ministry as told through the internationally acclaimed musical event, Lamb of God.",90,en,https://image.tmdb.org/t/p/w185/lq4IdwgraUg9PofwVxK54ISjLrA.jpg
18,Parallel Mothers,2021,Unavailable,96,3.6,Pedro Almodóvar,"Penélope Cruz, Milena Smit, Israel Elejalde",Drama,"Two unmarried women who have become pregnant by accident and are about to give birth meet in a hospital room: Janis, middle-aged, unrepentant and happy; Ana, a teenager, remorseful and frightened.",123,es,https://image.tmdb.org/t/p/w185/gDaxYkYNbHuM2VlUazbcpnFZB6d.jpg
19,Don't Look Now,1973,Unavailable,94,3.8,Nicolas Roeg,"Julie Christie, Donald Sutherland, Hilary Mason","Thriller, Drama, Horror","Laura and John, grieved by a terrible loss, meet in Venice, where John is in charge of the restoration of a church, two mysterious sisters, one of whom gives them a message sent from the afterlife.",110,en,https://image.tmdb.org/t/p/w185/vIftm9VI0xhiIFEq7dV4YfpTvBb.jpg
20,The Thin Blue Line,1988,Unavailable,-,4.0,Errol Morris,"Randall Adams, David Harris, Gus Rose","Crime, Documentary",Errol Morris's unique documentary dramatically re-enacts the crime scene and investigation of a police officer's murder in Dallas.,103,en,https://image.tmdb.org/t/p/w185/8QDnpl57NCo5zVJIGUVIetthIR6.jpg
21,The Vast of Night,2019,"<img src='https://www.themoviedb.org/t/p/original/emthp39XA2YScoYL1p0sdbAH2WA.jpg'height='50', style='border-radius: 10%;'></img>",93,3.5,Andrew Patterson,"Sierra McCormick, Jake Horowitz, Bruce Davis","Mystery, Science Fiction, Thriller, Drama","At the dawn of the space-race, two radio-obsessed teens discover a strange frequency over the airwaves in what becomes the most important night of their lives and in the history of their small town.",91,en,https://image.tmdb.org/t/p/w185/q2P9lYkctl5Ory71HEBMaFxbVlD.jpg
22,Pride,2014,Unavailable,92,4.1,Matthew Warchus,"Bill Nighy, Imelda Staunton, Dominic West","Drama, Comedy","In 1984, a group of LGBT activists decide to raise money to support the National Union of Mineworkers during their lengthy strike. There is only one problem: the Union seems embarrassed to receive their support.",122,en,https://image.tmdb.org/t/p/w185/Kc3vbqO0X4VRnjACGNoWLNQvHo.jpg
23,I Am Not Your Negro,2016,Unavailable,99,4.1,Raoul Peck,"Samuel L. Jackson, James Baldwin, Martin Luther King Jr.",Documentary,"Working from the text of James Baldwin’s unfinished final novel, director Raoul Peck creates a meditation on what it means to be Black in the United States.",93,en,https://image.tmdb.org/t/p/w185/zwd0Zti7BvY1mO0mTPzM0fRrtc6.jpg
24,The 39 Steps,1935,Unavailable,-,3.7,Alfred Hitchcock,"Robert Donat, Madeleine Carroll, Lucie Mannheim","Mystery, Thriller","Richard Hanney has a rude awakening when a glamorous female spy falls into his bed - with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as The 39 Steps.",86,en,https://image.tmdb.org/t/p/w185/paI9Tmqm2cZG6xy4Tnjw3Ydjuw5.jpg
25,The Bridges of Madison County,1995,Unavailable,-,4.0,Clint Eastwood,"Clint Eastwood, Meryl Streep, Annie Corley","Drama, Romance",Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,135,en,https://image.tmdb.org/t/p/w185/8TfLAfIh5Qxp2J4ZjOafHYhWtDb.jpg
26,Tori and Lokita,2022,Unavailable,88,3.3,Luc Dardenne,"Pablo Schils, Joely Mbundu, Alban Ukaj",Drama,"In Belgium today, a young boy and an adolescent girl who have travelled alone from Africa pit their invincible friendship against the difficult conditions of their exile.",88,fr,https://image.tmdb.org/t/p/w185/xbDs1ofrAJ7VsxrrxwO6AW2ahn7.jpg
