,Title,Year
0,After Hours,1985
1,My Liberation Notes,2022
2,Raising Arizona,1987
3,Inside Llewyn Davis,2013
4,Tongues Untied,1989
5,Enough Said,2013
6,The Banshees of Inisherin,2022
7,Victoria,2015
8,Raging Bull,1980
9,Eyes Wide Shut,1999
10,WALL·E,2008
11,Häxan,1922
12,Chungking Express,1994
13,"Sherlock, Jr.",1924
14,"Paris, Texas",1984
15,La La Land,2016
16,Logan Lucky,2017
17,Can't Get You Out of My Head,2021
18,Secrets & Lies,1996
19,Infernal Affairs,2002
20,Badlands,1973
21,Lost Highway,1997
22,Revolutionary Road,2008
23,Nomadland,2020
24,Zola,2020
25,Men,2022
26,Lamb,2021
27,Parallel Mothers,2021
28,Don't Look Now,1973
29,The Thin Blue Line,1988
30,Pride,2014
31,I Am Not Your Negro,2016
32,The 39 Steps,1935
33,The Bridges of Madison County,1995
34,Tori and Lokita,2022
35,Mass,2021
36,"BARDO, False Chronicle of a Handful of Truths",2022
37,Murder on the Orient Express,1974
38,Beau Travail,1999
39,Hard Eight,1996
40,Blue Ruin,2013
